ResponseId,Employment,EdLevel,OrgSize,YearsCodePro,YearsCode,DevType,ConvertedCompYearly,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,DevEnviron,OpSys,Age,Gender,CodingActivities,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,MainBranch
82267,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",500 to 999 employees,6-8 years,6-8 years,Full-stack developer,,Java;JavaScript;Ruby;Scala;SQL;Kotlin;HTML;CSS;Bash/Shell,JavaScript;Kotlin;HTML;CSS;Bash/Shell,Redis;PostgreSQL;Google Cloud Storage,Redis;PostgreSQL,AWS;Linux;Mac OS,AWS;Linux;Mac OS,React;Spring,Node.js,IntelliJ;Xcode,MacOS,25 - 34 years old,Male,Hobby;Contribute to open-source projects,,,,,
82312,Employed full-time,Some college/university study without earning a degree,20 to 99 employees,9-11 years,9-11 years,Back-end developer;Data or business analyst;Database administrator;Desktop or enterprise applications developer;System administrator,,Assembly;C;C++;Java;JavaScript;PHP;SQL;TypeScript;VB.NET;HTML;CSS;Bash/Shell,C;C#;CoffeeScript;Java;JavaScript;Perl;Python;Ruby;SQL;TypeScript;HTML;CSS;Bash/Shell,"SQL Server;MySQL;PostgreSQL;SQLite;Microsoft Azure (Tables, CosmosDB, SQL, etc);Google Cloud Storage",MongoDB;SQL Server;MySQL;PostgreSQL;SQLite;Amazon DynamoDB,Amazon Echo;Android;AWS;Azure;Drupal;Google Cloud Platform/App Engine;Linux;Windows Desktop or Server;Firebase,Amazon Echo;Android;Apple Watch or Apple TV;AWS;iOS;Linux,Angular;.NET Core;Django;Hadoop;Node.js;Cordova;Xamarin,Angular;.NET Core;Django;Hadoop;Node.js;Xamarin,Android Studio;Eclipse;Notepad++;Visual Studio;Visual Studio Code;Zend,Windows,25 - 34 years old,Male,Hobby;Contribute to open-source projects,,,,,
82338,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","5,000 to 9,999 employees",21-23 years,30 or more years,Back-end developer;Front-end developer;Full-stack developer;Mobile developer,35928.0,JavaScript;Lua;Objective-C;PHP;SQL;Swift;TypeScript;HTML;CSS,JavaScript;Lua;Python;Swift;TypeScript;HTML;CSS,"MongoDB;SQL Server;MySQL;Microsoft Azure (Tables, CosmosDB, SQL, etc)",MongoDB;SQL Server;MySQL;Google Cloud Storage,Android;Apple Watch or Apple TV;Arduino;iOS;Firebase,Android;Apple Watch or Apple TV;Arduino;iOS;Firebase,Angular;Node.js;Cordova,Angular;Node.js;Cordova,Atom;Visual Studio Code;Xcode,MacOS,,Male,Hobby;Contribute to open-source projects,,,,,
82395,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","10,000 or more employees",3-5 years,3-5 years,Back-end developer;Database administrator;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;QA or test developer,26196.0,C#;SQL;HTML;CSS,C++;C#;F#;Go;Objective-C;SQL;HTML;CSS,,"Cassandra;MongoDB;Redis;SQL Server;Oracle;Google BigQuery;Microsoft Azure (Tables, CosmosDB, SQL, etc);Google Cloud Storage;Neo4j;Elasticsearch",Windows Desktop or Server,Amazon Echo;Android;Apple Watch or Apple TV;Arduino;AWS;Azure;Gaming console;iOS;Linux;Mac OS;Mainframe;Raspberry Pi;Salesforce;Serverless;Windows Desktop or Server;Firebase,Angular;.NET Core,Angular;.NET Core;Hadoop;Node.js;React,Sublime Text;Visual Studio;Visual Studio Code,Windows,25 - 34 years old,Male,Contribute to open-source projects,,,,,
82441,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","5,000 to 9,999 employees",0-2 years,3-5 years,Database administrator;Desktop or enterprise applications developer;Student,24324.0,C#;PHP;SQL;VB.NET;HTML;CSS,C++;Java;PHP;Python;R;SQL;Swift;HTML;CSS,SQL Server;MySQL;SQLite;Oracle,SQL Server;MySQL;SQLite;Oracle,Windows Desktop or Server,Android;Arduino;Azure;Google Home;Raspberry Pi;Windows Desktop or Server;Windows Phone,.NET Core,.NET Core;Hadoop;Xamarin,Komodo;NetBeans;Visual Studio,Windows,,,Hobby;Contribute to open-source projects,,,,,
82560,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","10,000 or more employees",9-11 years,9-11 years,Designer;Front-end developer;Full-stack developer,,JavaScript;Python;HTML;CSS,JavaScript;Python;HTML;CSS,MongoDB,MongoDB,Linux,Linux,Angular;Node.js;React,Angular;Node.js;React,Atom;Visual Studio Code,MacOS,35 - 44 years old,Male,Hobby;Contribute to open-source projects,,,,,
82671,Employed full-time,Associate degree,10 to 19 employees,9-11 years,9-11 years,Back-end developer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Mobile developer,,C#;Java;JavaScript;SQL;TypeScript;HTML;CSS,C#;JavaScript;SQL;TypeScript;HTML;CSS,"SQL Server;MySQL;Microsoft Azure (Tables, CosmosDB, SQL, etc)","SQL Server;MySQL;Microsoft Azure (Tables, CosmosDB, SQL, etc)",Azure;iOS;Firebase,Azure;Firebase,Angular;Node.js,Angular;Node.js,Android Studio;Notepad++;Visual Studio;Visual Studio Code,Windows,,,Contribute to open-source projects,,,,,
82787,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,30 or more years,30 or more years,Back-end developer;DevOps specialist;Embedded applications or devices developer,82344.0,C;Groovy;Java;Python;Bash/Shell,Clojure;Groovy;Java;Python;Rust;TypeScript;Kotlin;Bash/Shell,IBM Db2,Cassandra;MongoDB;PostgreSQL;Elasticsearch,Linux;Mac OS;Mainframe,AWS;Linux;Mac OS,Spring,Hadoop;Spring;TensorFlow,IntelliJ;PyCharm;Vim;Visual Studio Code,Linux-based,45 - 54 years old,Male,Contribute to open-source projects,,,,,
82953,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10 to 19 employees,6-8 years,9-11 years,Back-end developer;Full-stack developer;Product manager,37428.0,C;C++;C#;Haskell;Java;JavaScript;Python;R;SQL;Visual Basic 6;Delphi/Object Pascal;HTML;CSS,C#;F#;Go;Haskell;JavaScript;Lua;Python;SQL;TypeScript;HTML;CSS,SQL Server;MySQL;Oracle;IBM Db2,"Cassandra;MongoDB;SQL Server;Oracle;Microsoft Azure (Tables, CosmosDB, SQL, etc);Neo4j;Elasticsearch",Android;Azure;SharePoint;Windows Desktop or Server,Azure;Windows Desktop or Server,.NET Core;Xamarin,Angular;.NET Core;Node.js;React;Spark;Xamarin,Notepad++;Visual Studio;Visual Studio Code,Windows,25 - 34 years old,Male,Hobby;Contribute to open-source projects,,,,,
83001,Employed full-time,"Professional degree (JD, MD, etc.)",20 to 99 employees,,9-11 years,Full-stack developer,,,,,,,,,,,,,,Hobby;Contribute to open-source projects,,,,,
83006,Employed full-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","1,000 to 4,999 employees",3-5 years,6-8 years,Back-end developer;Front-end developer;Full-stack developer;Student,,Java;JavaScript;PHP;HTML;CSS,Java;JavaScript;PHP;Swift;HTML;CSS;Bash/Shell,MySQL,MySQL,Drupal,Android;Drupal;iOS;Mac OS,,,Android Studio;Atom;NetBeans;PHPStorm;Sublime Text,Linux-based,,,Hobby;Contribute to open-source projects,,,,,
83021,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,3-5 years,9-11 years,Full-stack developer;System administrator,34311.0,Haskell;Java;Matlab;R,JavaScript;Python;SQL;HTML;CSS;Bash/Shell,SQL Server;PostgreSQL,PostgreSQL,,,Django,Django,IPython / Jupyter;PyCharm;Sublime Text,Linux-based,,,Hobby;Contribute to open-source projects,,,,,
83025,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","1,000 to 4,999 employees",0-2 years,3-5 years,Back-end developer;Full-stack developer,,,,,,,,,,,,,,Hobby;Contribute to open-source projects,,,,,
83155,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",500 to 999 employees,12-14 years,21-23 years,Back-end developer;Desktop or enterprise applications developer;Full-stack developer,,Java;JavaScript;SQL;HTML;CSS,Kotlin,SQL Server;PostgreSQL,,Linux;Windows Desktop or Server,,,,Eclipse;Notepad++,Windows,,,Hobby;Contribute to open-source projects,,,,,
83195,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Fewer than 10 employees,6-8 years,9-11 years,Back-end developer;Data or business analyst;Database administrator;Engineering manager;Full-stack developer;Mobile developer;Product manager,,CoffeeScript;Java;JavaScript;Objective-C;Python;Ruby;SQL;HTML;CSS;Bash/Shell,Java;Objective-C;Python;Ruby,Redis;MySQL,Cassandra;Redis,Android;AWS;iOS;Firebase,iOS,Hadoop;Spark;Cordova,Hadoop;Spark,Android Studio;Sublime Text;Xcode,MacOS,25 - 34 years old,Male,Hobby;Contribute to open-source projects,,,,,
83198,Employed full-time,Some college/university study without earning a degree,20 to 99 employees,0-2 years,3-5 years,Back-end developer,,JavaScript,JavaScript,MongoDB;Amazon DynamoDB;Apache Hive,MongoDB;MariaDB;Google BigQuery;Google Cloud Storage;Elasticsearch,Android;Heroku;Linux;Firebase,Arduino;Google Home;Firebase,Hadoop;Node.js;React,Hadoop;Node.js;React;TensorFlow,Visual Studio Code,Linux-based,,,Hobby;Contribute to open-source projects,,,,,
83240,Employed full-time,"Professional degree (JD, MD, etc.)",500 to 999 employees,6-8 years,6-8 years,Back-end developer;Full-stack developer,15720.0,C++;C#;JavaScript;SQL;HTML;CSS;Bash/Shell,C++;C#;CoffeeScript;Python;R;Ruby;SQL;Kotlin;HTML;CSS;Bash/Shell,MongoDB;Redis;SQL Server;MySQL;PostgreSQL;Amazon RDS/Aurora,MongoDB;Redis;SQL Server;MySQL;PostgreSQL;Memcached;Amazon RDS/Aurora;Neo4j;Elasticsearch,Android;AWS;Linux;Raspberry Pi,Android;Arduino;AWS;Linux;Raspberry Pi,.NET Core;Node.js;Xamarin,.NET Core;Django;Node.js;React;TensorFlow,Android Studio;Atom;Visual Studio;Visual Studio Code,Linux-based,25 - 34 years old,Male,Hobby;Contribute to open-source projects,,,,,
83250,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,0-2 years,3-5 years,Back-end developer;Student,20274.0,C++;Groovy;Python;Kotlin;Bash/Shell,Clojure;Erlang;Python;Rust;Scala;SQL;Kotlin,MySQL;SQLite,MongoDB;Redis;MySQL,Linux,Linux,,Spring,IntelliJ;Vim,Linux-based,18 - 24 years old,Male,Hobby;Contribute to open-source projects,,,,,
83273,Employed part-time,Some college/university study without earning a degree,"10,000 or more employees",0-2 years,6-8 years,Back-end developer;Designer;Front-end developer;Student,2880.0,Java;JavaScript;PHP;HTML;CSS,C#;Python,MySQL;SQLite;MariaDB,SQL Server,WordPress,Arduino;Raspberry Pi,,Angular;Django;Node.js;Xamarin,Eclipse;Sublime Text;Visual Studio,Windows,18 - 24 years old,Male,Hobby;Contribute to open-source projects,,,,,
83310,Employed full-time,Some college/university study without earning a degree,Fewer than 10 employees,3-5 years,6-8 years,Full-stack developer;Mobile developer;Student,7488.0,JavaScript;Python;SQL;HTML;CSS,CoffeeScript;Python;Swift;TypeScript;Kotlin;HTML;CSS,PostgreSQL;SQLite;Elasticsearch,PostgreSQL;SQLite,Linux,Android;AWS;iOS;Linux,Django,Django;Cordova,Android Studio;IntelliJ;IPython / Jupyter;Notepad++;PyCharm;Visual Studio Code,Linux-based,25 - 34 years old,Male,Hobby;Contribute to open-source projects,,,,,
83413,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,0-2 years,9-11 years,Back-end developer;Embedded applications or devices developer;Front-end developer;Full-stack developer;Mobile developer;System administrator,,,,,,,,,,,,,,Hobby;Contribute to open-source projects,,,,,
83569,Employed full-time,"Professional degree (JD, MD, etc.)",100 to 499 employees,3-5 years,6-8 years,Back-end developer;Front-end developer,,C#;JavaScript;SQL;HTML;CSS,JavaScript;SQL;HTML;CSS,MongoDB;SQL Server;MySQL,MongoDB;SQL Server,AWS;Firebase,Firebase,Angular,React,Notepad++;Visual Studio;Visual Studio Code,Windows,25 - 34 years old,Male,Contribute to open-source projects,,,,,
83696,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",500 to 999 employees,3-5 years,6-8 years,Back-end developer;Full-stack developer,,,,,,,,,,,,,,Hobby;Contribute to open-source projects,,,,,
83731,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Fewer than 10 employees,0-2 years,6-8 years,Full-stack developer,,,,,,,,,,,,,,Hobby;Contribute to open-source projects,,,,,
83758,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",20 to 99 employees,6-8 years,9-11 years,Mobile developer,37428.0,Groovy;Java;Objective-C;Swift;Kotlin,Go;Kotlin,MySQL;SQLite,SQLite,Android;iOS;Firebase,Android;Raspberry Pi;Serverless;Firebase,,,Android Studio;Atom;IntelliJ;Sublime Text;Vim,MacOS,25 - 34 years old,Male,Hobby;Contribute to open-source projects,,,,,
83780,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","1,000 to 4,999 employees",6-8 years,9-11 years,Back-end developer;Data or business analyst;Front-end developer;Full-stack developer;Mobile developer;Student;System administrator,14976.0,Java;JavaScript;PHP;SQL;Bash/Shell,C#;Go;PHP;Ruby;Rust;TypeScript;Kotlin;HTML;CSS,Redis;SQLite;Elasticsearch,Redis;PostgreSQL;SQLite;MariaDB;Memcached;Elasticsearch,Android;Linux,Android;Linux,Angular;Django,.NET Core;Django;Xamarin,Android Studio;IntelliJ;PHPStorm;PyCharm;Visual Studio Code,Linux-based,25 - 34 years old,Male,Hobby;Contribute to open-source projects,,,,,
83856,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,3-5 years,3-5 years,Back-end developer;Data scientist or machine learning specialist;Front-end developer;Full-stack developer,,,,,,,,,,,,,,Hobby;Contribute to open-source projects,,,,,
83985,Employed part-time,,Fewer than 10 employees,,3-5 years,Back-end developer;Full-stack developer,,Java;JavaScript;PHP;Ruby;SQL;HTML;CSS,C#;JavaScript;Python;Ruby;SQL;HTML;CSS,Redis;MySQL;PostgreSQL;SQLite,MongoDB;Redis;MySQL;PostgreSQL;SQLite,Android;Heroku;Linux;WordPress;Firebase,Android;Arduino;AWS;Azure;Heroku;IBM Cloud or Watson;iOS;Linux;Mac OS;Firebase,Angular,Angular;.NET Core;Django;Node.js,,,,,Hobby;Contribute to open-source projects,,,,,
83989,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Fewer than 10 employees,,0-2 years,Back-end developer;Database administrator;DevOps specialist;Front-end developer;Full-stack developer;Mobile developer;QA or test developer;Student;System administrator,,JavaScript;PHP;Python;HTML;CSS;Bash/Shell,Erlang;Go;Groovy;Haskell;Java;Python;Scala;TypeScript;Kotlin;HTML;CSS;Bash/Shell,MongoDB;SQL Server;MySQL;PostgreSQL;Memcached,Cassandra;MongoDB;Redis;PostgreSQL;Memcached;Elasticsearch,Android;Linux;Raspberry Pi,Android;Arduino;Linux;Raspberry Pi;Serverless,Django;Node.js;React,Django;Node.js;React;TensorFlow,Android Studio;Atom;PyCharm;Sublime Text;Vim;Visual Studio Code,Linux-based,,,Contribute to open-source projects,,,,,
83990,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,3-5 years,18-20 years,Back-end developer;Front-end developer;Full-stack developer,10476.0,Java;JavaScript;PHP;HTML;CSS,Java;JavaScript;Python;R;SQL;HTML;CSS,MySQL,"Cassandra;MongoDB;Redis;SQL Server;Apache Hive;Amazon Redshift;Amazon RDS/Aurora;Microsoft Azure (Tables, CosmosDB, SQL, etc);Google Cloud Storage",WordPress,Arduino;Raspberry Pi;WordPress,Angular,Angular;Hadoop;Node.js;React;Spark;Spring;TensorFlow,IntelliJ;Visual Studio Code,MacOS,25 - 34 years old,Male,Hobby;Contribute to open-source projects,,,,,
84052,Employed full-time,Some college/university study without earning a degree,100 to 499 employees,,6-8 years,Student,,,,,,,,,,,,,,Hobby;Contribute to open-source projects,,,,,
84071,Employed part-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Fewer than 10 employees,3-5 years,3-5 years,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Designer;Desktop or enterprise applications developer;Front-end developer;QA or test developer;System administrator,4860.0,Assembly;C++;C#;JavaScript;Lua;SQL;HTML;CSS,Assembly;C++;C#;Lua;Python;SQL,SQL Server;MySQL;PostgreSQL;SQLite,SQL Server;MySQL;PostgreSQL;SQLite,Azure,Android;Arduino;Azure;IBM Cloud or Watson;Linux;Mac OS;Windows Desktop or Server;Windows Phone;WordPress,.NET Core,.NET Core;Xamarin,Android Studio;Notepad++;Sublime Text;Visual Studio;Visual Studio Code;Xcode,Windows,18 - 24 years old,Male,Contribute to open-source projects,,,,,
84078,Employed part-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10 to 19 employees,3-5 years,6-8 years,Back-end developer;Data scientist or machine learning specialist;Educator or academic researcher;Engineering manager;Mobile developer;Student,18720.0,C;C++;Go;Haskell;Java;JavaScript;Python;SQL;HTML;CSS;Bash/Shell,C;C++;Go;Lua;Python;R;TypeScript,"MongoDB;Redis;SQL Server;MySQL;PostgreSQL;MariaDB;Microsoft Azure (Tables, CosmosDB, SQL, etc);Elasticsearch",MongoDB;Redis;PostgreSQL;MariaDB;Elasticsearch,Android;Arduino;AWS;Google Cloud Platform/App Engine;Heroku;Linux;Raspberry Pi;Windows Desktop or Server,Arduino;AWS;Google Cloud Platform/App Engine;Linux;Raspberry Pi,Angular;Django;Node.js;Cordova;Xamarin;Spring,Django;React;TensorFlow;Torch/PyTorch,IPython / Jupyter;Vim,Linux-based,18 - 24 years old,Male,Hobby;Contribute to open-source projects,,,,,
84241,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,0-2 years,3-5 years,Front-end developer,13104.0,JavaScript;PHP;HTML;CSS,Go,MySQL,MongoDB;Elasticsearch,WordPress;Firebase,Arduino;AWS;Firebase,,Angular;Node.js;React,Sublime Text,Linux-based,25 - 34 years old,Male,Hobby;Contribute to open-source projects,,,,,
84254,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",20 to 99 employees,15-17 years,27-29 years,Back-end developer;Desktop or enterprise applications developer;DevOps specialist;Engineering manager;Full-stack developer;Product manager,63636.0,C#;F#;Lua;Matlab;Python;R;Bash/Shell,C#;Erlang;F#;Haskell;Scala;Kotlin;Bash/Shell,Redis;SQL Server;SQLite,Redis;SQL Server,Windows Desktop or Server,SharePoint;Windows Desktop or Server,.NET Core,.NET Core;Xamarin,Visual Studio;Visual Studio Code,Windows,35 - 44 years old,Male,Hobby;Contribute to open-source projects,,,,,
84255,Employed full-time,Some college/university study without earning a degree,100 to 499 employees,3-5 years,6-8 years,Database administrator;Desktop or enterprise applications developer;Full-stack developer;Mobile developer;Product manager,11232.0,C;Java;SQL;Delphi/Object Pascal;HTML;CSS;Bash/Shell,Java;SQL;Delphi/Object Pascal;HTML;CSS;Bash/Shell,MongoDB;MariaDB,MariaDB,Android;Linux;Windows Desktop or Server,Android;Linux;Windows Desktop or Server,,,Android Studio;NetBeans;Notepad++,Windows,18 - 24 years old,Male,Contribute to open-source projects,,,,,
84360,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","10,000 or more employees",15-17 years,15-17 years,Embedded applications or devices developer,37428.0,C;C++;Python;Bash/Shell,,PostgreSQL,,Linux,,,,IPython / Jupyter;Vim,Linux-based,35 - 44 years old,Male,Contribute to open-source projects,,,,,
84387,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,3-5 years,3-5 years,Front-end developer,,,,,,,,,,,,,,Contribute to open-source projects,,,,,
84454,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,3-5 years,3-5 years,Back-end developer;QA or test developer,,Java;JavaScript;SQL,Java;Python;Kotlin,MongoDB;Redis;MySQL;Apache HBase;Elasticsearch,MongoDB;Redis,,,Spring,Spring,Eclipse;IntelliJ;Sublime Text,Linux-based,25 - 34 years old,Male,Contribute to open-source projects,,,,,
84501,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,12-14 years,15-17 years,Back-end developer;Database administrator;Desktop or enterprise applications developer;DevOps specialist;Educator or academic researcher;Embedded applications or devices developer;Engineering manager;Front-end developer;Full-stack developer;Mobile developer;Product manager,26196.0,Assembly;C#;Java;JavaScript;SQL;VBA;VB.NET;Visual Basic 6;Delphi/Object Pascal;HTML;CSS;Bash/Shell,Assembly;C++;C#;JavaScript;SQL;TypeScript;HTML;CSS;Bash/Shell,MongoDB;SQL Server;MySQL;SQLite;Oracle,MongoDB;SQL Server;Oracle,Android;Google Cloud Platform/App Engine;SharePoint;Windows Desktop or Server,Android;AWS;Azure;Google Cloud Platform/App Engine;Windows Desktop or Server,Xamarin,.NET Core;Xamarin,Notepad++;Visual Studio,Windows,35 - 44 years old,Male,Contribute to open-source projects,,,,,
84505,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","1,000 to 4,999 employees",,6-8 years,Back-end developer;Full-stack developer;QA or test developer,,,,,,,,,,,,,,Hobby;Contribute to open-source projects,,,,,
84521,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)",20 to 99 employees,21-23 years,21-23 years,Data scientist or machine learning specialist;Educator or academic researcher;Embedded applications or devices developer;Full-stack developer;Game or graphics developer;Mobile developer,29195.0,C;C++;C#;Java;JavaScript;Lua;Matlab;PHP;Python;R;SQL;VBA;VB.NET;Visual Basic 6;Delphi/Object Pascal;Cobol;HTML;CSS;Bash/Shell,C++;C#;Java;JavaScript;Python,SQL Server;MySQL;PostgreSQL,"MySQL;Microsoft Azure (Tables, CosmosDB, SQL, etc);Google Cloud Storage;Elasticsearch",Android;AWS;Drupal;Gaming console;iOS;Linux;Mac OS;SharePoint;Windows Desktop or Server;WordPress,Amazon Echo;Android;Apple Watch or Apple TV;Arduino;AWS;Gaming console;Google Cloud Platform/App Engine;Google Home;IBM Cloud or Watson;iOS;Mac OS;Raspberry Pi,.NET Core;Node.js;React;TensorFlow,Node.js;React;TensorFlow,Android Studio;Eclipse;IPython / Jupyter;Notepad++;RStudio;Sublime Text;Visual Studio;Visual Studio Code;Xcode,Windows,35 - 44 years old,Male,Hobby;Contribute to open-source projects,,,,,
84539,Employed full-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10 to 19 employees,0-2 years,3-5 years,Back-end developer;Designer;Front-end developer;System administrator,,,,,,,,,,,,,,Contribute to open-source projects,,,,,
84614,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","1,000 to 4,999 employees",18-20 years,18-20 years,Back-end developer;Data or business analyst;Database administrator;Designer;Educator or academic researcher;Front-end developer;Full-stack developer;Mobile developer;Product manager,,C#;JavaScript;PHP;Python;SQL;HTML;CSS;Bash/Shell,R;Swift;TypeScript,Cassandra;SQL Server;MySQL;PostgreSQL;Elasticsearch,MongoDB;Apache Hive;Amazon Redshift;Amazon RDS/Aurora;Google BigQuery;Google Cloud Storage,AWS;Heroku;IBM Cloud or Watson;Linux;Mac OS;WordPress,Android;Apple Watch or Apple TV;Google Cloud Platform/App Engine;iOS,.NET Core;Django;Cordova,Angular;Hadoop;Node.js;React;Spark;TensorFlow,Atom;PyCharm;Sublime Text;Visual Studio Code,Linux-based,45 - 54 years old,Female,Contribute to open-source projects,,,,,
84654,Employed full-time,"Professional degree (JD, MD, etc.)",10 to 19 employees,3-5 years,6-8 years,Designer;Desktop or enterprise applications developer;Embedded applications or devices developer,18720.0,C#;Python,C#;Python,,,,Arduino;Raspberry Pi,,,IPython / Jupyter;Visual Studio;Visual Studio Code,Windows,35 - 44 years old,Male,Hobby;Contribute to open-source projects,,,,,
84748,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,6-8 years,6-8 years,Front-end developer;Full-stack developer;QA or test developer,24953.0,C#;Groovy;Java;JavaScript;SQL;TypeScript;HTML;CSS;Bash/Shell,PHP;Python,SQL Server;MySQL;PostgreSQL;Elasticsearch,,,Firebase,Angular;Node.js;Spring,React;Cordova,Atom;Visual Studio Code,Windows,18 - 24 years old,Male,Hobby;Contribute to open-source projects,,,,,
84927,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10 to 19 employees,9-11 years,9-11 years,Back-end developer;Full-stack developer,,CoffeeScript;JavaScript;Ruby;SQL,C;CoffeeScript;JavaScript;Ruby;SQL,PostgreSQL;Elasticsearch,MongoDB;PostgreSQL;Memcached;Elasticsearch,Heroku;Linux,Heroku;Linux,,React,Sublime Text,MacOS,25 - 34 years old,Male,Hobby;Contribute to open-source projects,,,,,
84929,Employed part-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,0-2 years,0-2 years,Data or business analyst;Data scientist or machine learning specialist;Database administrator;Front-end developer;Student,7488.0,JavaScript;Python;R;SQL;VBA,JavaScript;Julia;Python;R;SQL,SQL Server,MongoDB;SQL Server;MySQL;Oracle,,,Angular,Hadoop;React;TensorFlow,IPython / Jupyter;Notepad++;RStudio;Visual Studio Code,Windows,18 - 24 years old,Male,Hobby;Contribute to open-source projects,,,,,
84952,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Fewer than 10 employees,3-5 years,3-5 years,Mobile developer,,C;C#;Java;JavaScript;Objective-C;Swift;HTML;CSS,Swift;Kotlin,SQL Server;MySQL;PostgreSQL,MySQL;PostgreSQL,Android;Arduino;Azure;iOS;Windows Phone;Firebase,Android;Apple Watch or Apple TV;iOS;Firebase,Xamarin,,Sublime Text;Xcode,MacOS,25 - 34 years old,Male,Hobby;Contribute to open-source projects,,,,,
85068,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,,3-5 years,Back-end developer;Front-end developer;Full-stack developer;Mobile developer,,,,,,,,,,,,,,Hobby;Contribute to open-source projects,,,,,
85082,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","1,000 to 4,999 employees",0-2 years,6-8 years,Front-end developer,11976.0,Java;JavaScript;SQL;TypeScript;HTML;CSS,Go;Java;JavaScript;Python;SQL;Kotlin;HTML;CSS,MySQL;PostgreSQL,MySQL;PostgreSQL,AWS;Windows Desktop or Server,AWS;Windows Desktop or Server;Firebase,Angular;Node.js,Angular;Node.js;React;Spring,Eclipse;NetBeans;Notepad++;Visual Studio Code,Windows,18 - 24 years old,Male,Hobby;Contribute to open-source projects,,,,,
85102,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Fewer than 10 employees,,9-11 years,Full-stack developer,,Java;Objective-C;SQL;Delphi/Object Pascal;HTML;CSS,Java;Objective-C;SQL;Delphi/Object Pascal;HTML;CSS,"SQL Server;SQLite;Microsoft Azure (Tables, CosmosDB, SQL, etc)","SQL Server;SQLite;Microsoft Azure (Tables, CosmosDB, SQL, etc)",Android;Azure;iOS;Windows Desktop or Server,Android;Azure;iOS;Windows Desktop or Server,Xamarin,Xamarin,,Windows,,,Contribute to open-source projects,,,,,
