ResponseId,MainBranch,Employment,EdLevel,OrgSize,YearsCodePro,YearsCode,DevType,ConvertedCompYearly,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSys,Age,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,CodingActivities,Gender
56247,I am a developer by profession,"Employed, full-time","Associate degree (A.A., A.S., etc.)","1,000 to 4,999 employees",37,39,DevOps specialist,50719.0,Bash/Shell (all shells);C#;Cobol;HTML/CSS;Java;JavaScript;SAS;SQL;Visual Basic (.Net),Bash/Shell (all shells);Go;Groovy;Java;JavaScript,Dynamodb;IBM DB2;Microsoft SQL Server;MongoDB;Oracle;Redis,Dynamodb;Redis,Amazon Web Services (AWS);Microsoft Azure;OpenShift,Amazon Web Services (AWS);Microsoft Azure;OpenShift,ASP.NET;ASP.NET CORE;Node.js;Spring Boot,Node.js,Eclipse;Nano;Notepad++;Vim;Visual Studio Code,Eclipse;IntelliJ IDEA;Vim;Visual Studio Code,MacOS;Red Hat;Ubuntu,55-64 years old,.NET (5+) ;.NET Framework (1.0 - 4.8),,Professional development or self-paced learning from online courses,
56268,I am a developer by profession,"Independent contractor, freelancer, or self-employed","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20 to 99 employees,15,20,DevOps specialist,,JavaScript;Python,Rust,PostgreSQL;Redis,PostgreSQL;Redis,Amazon Web Services (AWS);Cloudflare,Amazon Web Services (AWS);Cloudflare,FastAPI,FastAPI,DataGrip;Visual Studio Code,Visual Studio Code,Other (Please Specify):,25-34 years old,Pandas,Pandas,Hobby;Freelance/contract work,
56291,I am a developer by profession,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I don’t know,7,13,"Developer, back-end",28403.0,Bash/Shell (all shells);Go;Python;SQL,Dart;Go;Python;Rust;SQL,PostgreSQL;SQLite,MongoDB;PostgreSQL;SQLite,Amazon Web Services (AWS),Amazon Web Services (AWS);Digital Ocean;Google Cloud,Django,Django;Elm;Svelte;Vue.js,Atom;Geany;Kate;Qt Creator;Sublime Text;Vim;Visual Studio Code,Sublime Text;Vim;Visual Studio Code,Fedora,25-34 years old,GTK;Qt,Flutter;Qt,Hobby;Contribute to open-source projects,
56353,I am a developer by profession,"Employed, full-time",Some college/university study without earning a degree,"1,000 to 4,999 employees",11,13,Data or business analyst,47067.0,Python;Rust,Python;Rust,Microsoft SQL Server,PostgreSQL;SQLite,Microsoft Azure,,,,CLion;IPython;Jupyter Notebook/JupyterLab;Notepad++;PyCharm;Vim;Visual Studio Code;VSCodium,CLion;Fleet;IPython;Jupyter Notebook/JupyterLab;Notepad++;PyCharm;Vim;VSCodium,MacOS;Windows,35-44 years old,Apache Spark;NumPy;Pandas,Apache Kafka;Apache Spark;GTK;NumPy,Hobby;Professional development or self-paced learning from online courses,
56355,"I am not primarily a developer, but I write code sometimes as part of my work/studies","Student, part-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,,7,,,C;C#;C++,C;C#;C++,SQLite,,Amazon Web Services (AWS),,Node.js,,Visual Studio Code;VSCodium,Visual Studio Code;VSCodium,Ubuntu,18-24 years old,Qt,,,
56359,I am a developer by profession,"Employed, part-time",Some college/university study without earning a degree,2 to 9 employees,Less than 1 year,4,"Developer, back-end",751.0,Bash/Shell (all shells);C;HTML/CSS;JavaScript;Julia;TypeScript,Bash/Shell (all shells);C;C#;C++;HTML/CSS;Python;Rust;SQL;TypeScript,Dynamodb,PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS);Microsoft Azure,ASP.NET;ASP.NET CORE;Next.js;Node.js;React;WordPress,ASP.NET;Node.js,Visual Studio;Visual Studio Code,Neovim;Visual Studio;Visual Studio Code,Windows;Windows Subsystem for Linux (WSL),18-24 years old,.NET (5+) ,.NET (5+) ;.NET MAUI;Apache Kafka;CUDA;NumPy;Opencv;OpenGL;Pandas;RabbitMQ;Scikit-Learn;TensorFlow;Torch/PyTorch,Hobby;School or academic work,
56375,I am a developer by profession,"Employed, full-time;Student, full-time",Some college/university study without earning a degree,,,5,Data scientist or machine learning specialist,,Bash/Shell (all shells);C;Java;JavaScript;Python,JavaScript;Python,PostgreSQL,PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS),FastAPI;Flask;Node.js,FastAPI;Flask,Vim;Visual Studio Code,Vim;Visual Studio Code,Ubuntu;Windows,18-24 years old,Keras;NumPy;Opencv;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,Keras;NumPy;Opencv;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,School or academic work,
56378,I am a developer by profession,"Employed, full-time",Primary/elementary school,100 to 499 employees,15,20,"Developer, back-end",,C;C++;Go;Python;TypeScript,Go;Python;TypeScript,BigQuery;Cloud Firestore;PostgreSQL;Redis,BigQuery;Cloud Firestore;PostgreSQL;Redis,Amazon Web Services (AWS);Firebase;Google Cloud;Vercel;Vultr,Amazon Web Services (AWS);Firebase;Google Cloud;Vercel;Vultr,Django;Express;Flask;NestJS;Next.js;Node.js;React,Express;FastAPI;NestJS;Next.js;Node.js;React,Android Studio;IPython;Qt Creator;Vim;Visual Studio Code;Xcode,Android Studio;Visual Studio Code,MacOS,35-44 years old,CUDA;Electron;NumPy;Pandas;Qt;TensorFlow,NumPy;Pandas,Hobby;Contribute to open-source projects,
56415,I am a developer by profession,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",10,12,"Developer, full-stack",44633.0,Bash/Shell (all shells);Delphi;Java;JavaScript;Kotlin;TypeScript,C#;Java;Kotlin;TypeScript,Cassandra;Firebird;H2;InfluxDB;MongoDB;MySQL;Oracle;PostgreSQL;Redis,Cassandra;H2;MongoDB;Oracle;Redis,Amazon Web Services (AWS);Oracle Cloud Infrastructure (OCI),Amazon Web Services (AWS),Angular;Spring Boot,Angular;React;Spring Boot,IntelliJ IDEA,IntelliJ IDEA,Fedora;Ubuntu,25-34 years old,Apache Kafka,Apache Kafka,Hobby;Professional development or self-paced learning from online courses,
56504,I am a developer by profession,"Employed, full-time",Some college/university study without earning a degree,100 to 499 employees,18,12,"Developer, front-end",26780.0,HTML/CSS;JavaScript;TypeScript,Dart;Elixir;Go;HTML/CSS;JavaScript;TypeScript,MongoDB;MySQL;PostgreSQL;Redis;SQLite,MongoDB;PostgreSQL;Redis,Amazon Web Services (AWS);Digital Ocean;Firebase;Heroku;Hetzner;Microsoft Azure;Netlify;Vercel;Vultr,Amazon Web Services (AWS);Digital Ocean;Microsoft Azure;Vercel;Vultr,AngularJS;Express;NestJS;Next.js;Node.js;Nuxt.js;React;Vue.js,Deno;NestJS;Next.js;Node.js;Nuxt.js;React;Remix;Vue.js,Visual Studio Code,Vim;Visual Studio Code,Ubuntu,25-34 years old,,,Hobby,
56586,I am a developer by profession,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,7,10,"Engineer, data",,Bash/Shell (all shells);Clojure;Go;Python;Scala;SQL,Bash/Shell (all shells);Clojure;SQL,MongoDB;PostgreSQL,DuckDB;PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS),,,Visual Studio Code,VSCodium,Ubuntu,25-34 years old,Apache Kafka;Apache Spark;Pandas,,Hobby;Professional development or self-paced learning from online courses,
56601,I code primarily as a hobby,"Student, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,,5,,,HTML/CSS;TypeScript,HTML/CSS;Rust;TypeScript,,,,,Express;Fastify;Node.js;Svelte,Express;Fastify;Node.js;Svelte,IntelliJ IDEA;Kate;Notepad++;Visual Studio;Visual Studio Code,IntelliJ IDEA;Kate;Visual Studio;Visual Studio Code,,18-24 years old,,,,
56704,I am a developer by profession,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,2,4,"Engineer, data",11744.0,Bash/Shell (all shells);HTML/CSS;JavaScript;MATLAB;Python;SQL;VBA,Bash/Shell (all shells);Python;SQL,BigQuery;Oracle,BigQuery,Amazon Web Services (AWS);Google Cloud,Google Cloud,,,Visual Studio Code,Visual Studio Code,Ubuntu,25-34 years old,Apache Spark;Pandas,Apache Kafka;Apache Spark;Hadoop;NumPy;Pandas;TensorFlow,Professional development or self-paced learning from online courses,
56722,I am a developer by profession,"Not employed, but looking for work","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,,16,DevOps specialist,,Apex;Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Bash/Shell (all shells);Clojure;Go;Java;Python;SQL;TypeScript,BigQuery;Dynamodb;MySQL;PostgreSQL,BigQuery;Datomic;Dynamodb;Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);Google Cloud,Amazon Web Services (AWS);Google Cloud,Django;Node.js,Django;Flask;Laravel;Node.js;Symfony,IPython;Neovim;PhpStorm;PyCharm;Visual Studio Code;WebStorm,IPython;Neovim;PhpStorm;PyCharm;Visual Studio Code;WebStorm,iOS;MacOS;Other Linux-based;Ubuntu,25-34 years old,,,,
56731,I am a developer by profession,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10 to 19 employees,5,13,"Developer, full-stack",24954.0,Go;HTML/CSS;Java;JavaScript;SQL,Go;Java;SQL,H2;MariaDB;MySQL;Oracle;PostgreSQL;Redis,MariaDB;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);Heroku;Netlify;Vercel,Amazon Web Services (AWS),jQuery;Next.js;Spring Boot;Svelte;Vue.js,Spring Boot;Svelte,Android Studio;IntelliJ IDEA;Visual Studio Code;Xcode,IntelliJ IDEA;Visual Studio Code,Ubuntu,25-34 years old,Spring Framework,Micronaut;Quarkus;RabbitMQ;Spring Framework;TensorFlow,Hobby;Professional development or self-paced learning from online courses,
56773,I am a developer by profession,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",4,6,Engineering manager,40575.0,HTML/CSS;Java;JavaScript;TypeScript,HTML/CSS;Java;JavaScript;TypeScript,BigQuery;Cloud Firestore;Firebase Realtime Database,BigQuery;Cloud Firestore;Redis,Amazon Web Services (AWS);Firebase;Google Cloud,Amazon Web Services (AWS);Firebase;Google Cloud,Angular;AngularJS;NestJS;Next.js;Node.js;React;Spring Boot,Angular;NestJS;Node.js;Spring Boot,Visual Studio Code,Visual Studio Code,Windows,18-24 years old,,,Hobby;Bootstrapping a business,
56802,"I am not primarily a developer, but I write code sometimes as part of my work/studies","Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","5,000 to 9,999 employees",21,29,Academic researcher,52748.0,C;C++;Python,C;C++,,,,,,,Vim;Visual Studio Code,Vim;Visual Studio Code,Ubuntu;Windows;Windows Subsystem for Linux (WSL);Other (Please Specify):,45-54 years old,CUDA,CUDA,I don’t code outside of work,
56805,"I am not primarily a developer, but I write code sometimes as part of my work/studies","Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",20,25,"Engineer, site reliability",3508749.0,Java;JavaScript,Java,Microsoft SQL Server;Oracle,Cosmos DB;MongoDB;PostgreSQL,IBM Cloud Or Watson;OpenShift,Microsoft Azure,Angular;AngularJS;ASP.NET;jQuery;Vue.js;WordPress,Angular,Eclipse;Notepad++;Visual Studio Code,Visual Studio Code,Red Hat;Windows;Windows Subsystem for Linux (WSL),35-44 years old,Apache Kafka;Spring Framework,Apache Kafka;Spring Framework,Hobby;Other (please specify):,
56816,"I am not primarily a developer, but I write code sometimes as part of my work/studies","Employed, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,3,25,Student,,Java;JavaScript;SQL;TypeScript,Java;JavaScript;SQL;TypeScript,MySQL;PostgreSQL,MySQL;PostgreSQL,Hetzner,Hetzner,Angular;Node.js;Spring Boot;WordPress,Angular;Express;Node.js;Spring Boot;WordPress,IntelliJ IDEA;PhpStorm;WebStorm,IntelliJ IDEA;PhpStorm;WebStorm,Windows;Windows Subsystem for Linux (WSL),35-44 years old,,,Professional development or self-paced learning from online courses;School or academic work,
56822,I am a developer by profession,"Not employed, and not looking for work",Some college/university study without earning a degree,,,37,,,Elixir;JavaScript;PHP;Python;Rust,Elixir;Go;JavaScript;PHP;Python;Rust,MySQL;PostgreSQL,MySQL;PostgreSQL,Amazon Web Services (AWS);Google Cloud,Amazon Web Services (AWS);Google Cloud,Angular;Express;FastAPI;Flask;Laravel;NestJS;Next.js;React;Spring Boot;Vue.js,Express;FastAPI;Flask;Laravel;NestJS;Next.js;React,Visual Studio Code,Visual Studio Code,Android;MacOS;Other Linux-based;Ubuntu,45-54 years old,Keras;NumPy;Pandas;TensorFlow;Torch/PyTorch,CUDA;Keras;NumPy;OpenGL;Pandas;TensorFlow;Torch/PyTorch,,
56862,I am a developer by profession,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,4,10,"Developer, full-stack",36518.0,C;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,,H2;MariaDB;MySQL;Oracle;PostgreSQL;SQLite,,Heroku;Netlify,,Angular;jQuery;Laravel;Spring Boot;WordPress,,Eclipse;Sublime Text;Vim;Visual Studio Code,,,35-44 years old,Ionic;Pandas,,Hobby;School or academic work,
56972,I am a developer by profession,"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","1,000 to 4,999 employees",5,9,Other (please specify):,48690.0,C;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript;Visual Basic (.Net),C;Dart;Go;HTML/CSS;JavaScript;Objective-C;PHP;Python;SQL;TypeScript,Elasticsearch;MongoDB;MySQL;Oracle;PostgreSQL,MySQL;Redis,Digital Ocean,Digital Ocean,Angular;ASP.NET;ASP.NET CORE;Node.js;React;Symfony;Vue.js;WordPress,Angular;Node.js;Symfony,Visual Studio;Visual Studio Code,Visual Studio Code,MacOS,18-24 years old,.NET (5+) ;RabbitMQ,Flutter;RabbitMQ,Hobby;Bootstrapping a business,
57027,I am learning to code,"Not employed, but looking for work","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,,2,"Developer, front-end",,HTML/CSS;JavaScript,TypeScript,MongoDB,MongoDB;PostgreSQL,,,React,Next.js;Remix,Vim;VSCodium,VSCodium,MacOS,25-34 years old,,,,
57029,I am a developer by profession,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,5,8,"Developer, full-stack",26780.0,C;C#;C++;Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,Assembly;Bash/Shell (all shells);C++;HTML/CSS;JavaScript;Python;Rust;SQL,BigQuery;InfluxDB;MongoDB;PostgreSQL;SQLite,Clickhouse;Elasticsearch;PostgreSQL;SQLite,Amazon Web Services (AWS);Firebase;Google Cloud;Heroku;Microsoft Azure;Vercel,Amazon Web Services (AWS);Google Cloud;Vercel,Angular;Django;Express;Flask;jQuery;NestJS;Node.js;React,Express;Flask;NestJS;Next.js;Node.js;React,Android Studio;Nano;Sublime Text;Vim;Visual Studio Code;Xcode,Emacs;Nano;Neovim;Vim;Visual Studio Code;Xcode,iOS;MacOS;Other Linux-based;Ubuntu;Windows;Windows Subsystem for Linux (WSL),25-34 years old,Apache Kafka;Apache Spark;Electron;Keras;NumPy;Opencv;Pandas;RabbitMQ;React Native;TensorFlow,Apache Kafka;Electron;Keras;NumPy;Opencv;Pandas;React Native;TensorFlow,Hobby;Contribute to open-source projects;Bootstrapping a business;Freelance/contract work,
57071,I code primarily as a hobby,"Student, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,,8,,,Assembly;C#;C++;HTML/CSS;Java;JavaScript;Kotlin;Lua;Python;SQL;TypeScript,Assembly;Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;Kotlin;Lua;TypeScript,PostgreSQL,MySQL,,,Express;Next.js;Node.js,Express;Next.js;Node.js,IntelliJ IDEA;Notepad++;Visual Studio;Visual Studio Code,Visual Studio Code,,Under 18 years old,Electron;React Native,,,
57093,I am a developer by profession,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",4,6,"Developer, full-stack",22451.0,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;TypeScript,MongoDB;MySQL;PostgreSQL;SQLite,Elasticsearch;MongoDB;PostgreSQL;Redis;Supabase,Heroku;Netlify,Amazon Web Services (AWS);Google Cloud;Microsoft Azure;Netlify;Vercel,Angular;Express;Next.js;Node.js;React;Spring Boot,Laravel;NestJS;Next.js;Node.js;React;Remix;Spring Boot,Android Studio;Neovim;Visual Studio Code,Android Studio;Neovim;Visual Studio Code,Other (Please Specify):,18-24 years old,React Native,Flutter;React Native,Hobby;Professional development or self-paced learning from online courses;School or academic work,
57100,"I am not primarily a developer, but I write code sometimes as part of my work/studies","Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","1,000 to 4,999 employees",10,20,Academic researcher,24345.0,C;C++;Fortran;MATLAB;Python,Julia;Python,,,,,,,IPython;Spyder,IPython;Spyder;Visual Studio Code,Windows,35-44 years old,Keras;NumPy;Pandas;Scikit-Learn;TensorFlow,CUDA;Keras;NumPy;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,Hobby;Professional development or self-paced learning from online courses;School or academic work,
57115,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed","Associate degree (A.A., A.S., etc.)",I don’t know,3,4,"Developer, back-end",42941.0,HTML/CSS;Java;JavaScript;Python,Java;JavaScript;Python,Oracle;PostgreSQL,Oracle;PostgreSQL,Amazon Web Services (AWS);Google Cloud,Amazon Web Services (AWS);Google Cloud,React,Next.js;Node.js;React,Eclipse;IntelliJ IDEA;Notepad++;Visual Studio Code,IntelliJ IDEA;Visual Studio Code,Ubuntu;Windows;Windows Subsystem for Linux (WSL),18-24 years old,Spring Framework,Apache Kafka;Quarkus;RabbitMQ;Spring Framework,Professional development or self-paced learning from online courses,
57128,I am a developer by profession,"Employed, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,Less than 1 year,2,"Developer, back-end",5234.0,HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Java;JavaScript;Rust;SQL;TypeScript,Firebase Realtime Database;MySQL;PostgreSQL;SQLite,Firebase Realtime Database;MySQL;PostgreSQL;SQLite,Firebase;Heroku,Amazon Web Services (AWS);Firebase,Angular;Flask;jQuery;Node.js;Spring Boot,Angular;Node.js;React;Spring Boot,IntelliJ IDEA;Vim;Visual Studio Code,IntelliJ IDEA;Visual Studio Code,Windows,18-24 years old,RabbitMQ;Spring Framework,Spring Framework,Hobby,
57158,I am a developer by profession,"Employed, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",1,3,"Developer, back-end",401928.0,C#;Dart;Delphi;HTML/CSS;Java;JavaScript;Python;Ruby;Rust;SQL,Ruby;Rust;SQL,Microsoft SQL Server;Oracle;PostgreSQL;SQLite,Datomic;Dynamodb;MariaDB;PostgreSQL,Microsoft Azure;Vercel,Amazon Web Services (AWS);Microsoft Azure,Angular;React;Ruby on Rails,Ruby on Rails,"Android Studio;CLion;Neovim;PyCharm;Rad Studio (Delphi, C++ Builder);RubyMine;Sublime Text;Visual Studio;Visual Studio Code",PyCharm;RubyMine;Sublime Text;Visual Studio Code,Windows,25-34 years old,Flutter,.NET (5+) ;.NET MAUI;Flutter,Professional development or self-paced learning from online courses;School or academic work,
57169,I am a developer by profession,"Employed, full-time",Some college/university study without earning a degree,500 to 999 employees,Less than 1 year,8,"Developer, front-end",580.0,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;Python;TypeScript,,,,,jQuery;React,React;Remix;Vue.js,Notepad++;Visual Studio Code,Notepad++;PyCharm;Visual Studio Code;WebStorm,Windows,25-34 years old,,,Hobby,
57314,"I am not primarily a developer, but I write code sometimes as part of my work/studies","Student, full-time",Some college/university study without earning a degree,,,7,,,Bash/Shell (all shells);C;C++;Lua;Python;Rust,Bash/Shell (all shells);C;Lua;Python;Rust,,,,,,,Neovim;Visual Studio Code,Neovim,Arch,18-24 years old,CUDA;Keras;NumPy;Opencv;Torch/PyTorch,CUDA;Keras;NumPy;Opencv;OpenGL;Torch/PyTorch,,
57425,I am a developer by profession,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",5,12,Engineering manager,45039.0,Bash/Shell (all shells);C#;HTML/CSS;Java;Kotlin;PowerShell;SQL;TypeScript,Bash/Shell (all shells);C#;Go;HTML/CSS;Java;Kotlin;PowerShell;SQL;TypeScript,Dynamodb;H2;Microsoft SQL Server;MySQL;Neo4J;PostgreSQL,Dynamodb;H2;PostgreSQL,Amazon Web Services (AWS);Firebase;Heroku,Amazon Web Services (AWS),Angular;Node.js;React;Spring Boot;Vue.js,Angular;Node.js;React;Spring Boot;Vue.js;WordPress,Android Studio;Atom;Goland;IntelliJ IDEA;Sublime Text;Visual Studio Code;WebStorm,Goland;IntelliJ IDEA;Sublime Text;Visual Studio Code;WebStorm,Ubuntu;Windows;Windows Subsystem for Linux (WSL),25-34 years old,.NET (5+) ;.NET Framework (1.0 - 4.8);Apache Kafka;Micronaut;Spring Framework;TensorFlow,.NET (5+) ;Spring Framework,Hobby;Bootstrapping a business,
57755,I am a developer by profession,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I don’t know,41,41,"Developer, full-stack",,Bash/Shell (all shells);Elixir;HTML/CSS;JavaScript;Rust,,PostgreSQL,,Fly.io,,Phoenix,,Neovim,,Fedora,35-44 years old,,,Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses,
57798,I am a developer by profession,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",2,5,"Developer, front-end",29011.0,Bash/Shell (all shells);JavaScript;SQL;TypeScript,Bash/Shell (all shells);Go;JavaScript;SQL;TypeScript,Dynamodb;Elasticsearch;MongoDB;PostgreSQL,SQLite,Amazon Web Services (AWS);Google Cloud;Vercel,Amazon Web Services (AWS);Vercel,Express;Next.js;Node.js;React,Node.js;React;Remix,Visual Studio Code,Visual Studio Code,MacOS,18-24 years old,Flutter,,Hobby;Contribute to open-source projects;School or academic work,
57873,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,20 to 99 employees,8,10,Other (please specify):,101438.0,Bash/Shell (all shells);JavaScript;Python;SQL;Swift;TypeScript,,PostgreSQL,,Amazon Web Services (AWS);Cloudflare,,Django;React,FastAPI,IPython;Jupyter Notebook/JupyterLab;Neovim;PyCharm;Vim;Visual Studio Code,,Debian;Other Linux-based,25-34 years old,NumPy;Pandas;Torch/PyTorch,Hugging Face Transformers;TensorFlow,Hobby;Contribute to open-source projects,
57964,I am a developer by profession,"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10 to 19 employees,3,4,"Developer, front-end",,HTML/CSS;JavaScript;Ruby;TypeScript,HTML/CSS;JavaScript;PHP;TypeScript,MongoDB;MySQL,,Amazon Web Services (AWS);Firebase;Vercel,Amazon Web Services (AWS);Vercel,jQuery;Next.js;Node.js;React,Angular;AngularJS;Next.js;Node.js;React,Android Studio;Visual Studio Code,Android Studio;Visual Studio Code,MacOS;Ubuntu;Windows,18-24 years old,React Native,Flutter;React Native,Hobby;Professional development or self-paced learning from online courses;Freelance/contract work,
58057,I am a developer by profession,"Employed, full-time;Student, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,,8,"Developer, front-end",,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;TypeScript,,,Amazon Web Services (AWS),Amazon Web Services (AWS),React,Next.js;React,Notepad++;Visual Studio Code,Notepad++;Visual Studio Code,MacOS;Windows,18-24 years old,,,School or academic work,
58178,I code primarily as a hobby,"Student, part-time",Primary/elementary school,,,3,,,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Lua;PHP;PowerShell;Python;TypeScript;VBA;Visual Basic (.Net),C;C++,,,Amazon Web Services (AWS);Google Cloud;Heroku;Netlify;VMware,Cloudflare,Express;Node.js,,Visual Studio Code,,,Under 18 years old,.NET (5+) ,,,
58402,I am a developer by profession,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",9,14,Other (please specify):,71007.0,JavaScript;PHP;Python;SQL;TypeScript;VBA,JavaScript;Python;SQL;TypeScript,BigQuery;Elasticsearch;MongoDB;PostgreSQL;Redis,Cassandra;Couchbase;Dynamodb;MongoDB;PostgreSQL;Redis,Amazon Web Services (AWS);Cloudflare;Firebase;Heroku,Amazon Web Services (AWS);Vercel,Flask;Node.js;React;Ruby on Rails,Deno;Elm;Node.js;React;Remix;Svelte;Vue.js,Android Studio;Nano,Visual Studio Code,MacOS,25-34 years old,Pandas;React Native,Apache Kafka;Apache Spark;Flutter;Hadoop;RabbitMQ,I don’t code outside of work,
58422,I am a developer by profession,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",5,3,"Developer, front-end",20288.0,HTML/CSS;JavaScript;Python,Ruby,MariaDB,,Cloudflare,Amazon Web Services (AWS),Express;Next.js;React,React;Svelte,Visual Studio Code,Visual Studio Code,MacOS;Ubuntu,25-34 years old,Pandas,,I don’t code outside of work,
58441,I am a developer by profession,"Independent contractor, freelancer, or self-employed;Student, part-time;Not employed, and not looking for work","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,,13,Data scientist or machine learning specialist,,C;Dart;Haskell;HTML/CSS;Lua;Python;Rust;TypeScript,C;Dart;Haskell;HTML/CSS;Lua;OCaml;Python;Rust;TypeScript,,,,,,,Neovim,Neovim,Other (Please Specify):,18-24 years old,Flutter;GTK;Hugging Face Transformers;JAX;Keras;NumPy;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,CUDA;Flutter;Hugging Face Transformers;JAX;NumPy;Pandas;Scikit-Learn,Hobby;Contribute to open-source projects;Freelance/contract work;School or academic work,
58481,I code primarily as a hobby,"Independent contractor, freelancer, or self-employed;Student, part-time;Not employed, and not looking for work",Primary/elementary school,,,3,"Developer, game or graphics",,GDScript;Java,Java;Lua,,,,,,,Eclipse;IntelliJ IDEA;Visual Studio;Visual Studio Code,IntelliJ IDEA,,Under 18 years old,.NET (5+) ;OpenGL,OpenGL,Hobby,
58535,I am a developer by profession,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2 to 9 employees,1,6,"Senior Executive (C-Suite, VP, etc.)",4058.0,Bash/Shell (all shells);Elixir;Go;HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Ruby;TypeScript,Firebase Realtime Database;PostgreSQL;SQLite,PostgreSQL;SQLite,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Fly.io;Netlify;Render;Vercel,Cloudflare;Digital Ocean;Vercel,Django;Next.js;Node.js;Phoenix;React;Ruby on Rails,Next.js;React;Ruby on Rails,IntelliJ IDEA;RubyMine,IntelliJ IDEA;RubyMine,Arch;Other (Please Specify):,18-24 years old,,,Hobby;Professional development or self-paced learning from online courses,
58689,I am learning to code,"Student, full-time;Not employed, and not looking for work","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,,1,,,,,,,,,,,Visual Studio Code,Visual Studio Code,,18-24 years old,,,,
